"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","2347","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","946","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","38","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","112","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","101","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","1639","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","1576","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","2410","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","1494","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","329","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","19","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","33","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","1744","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","362","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","642","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","294","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","18","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","1479","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","36","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
