"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","347","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","37","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","1688","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","2254","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","655","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","1745","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","1080","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","20","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","226","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","1362","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","63","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","115","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","10","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","14","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","197","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","64","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","18","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","2210","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","1503","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","931","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
