"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","339","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","1494","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","105","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","12","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","1683","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","38","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","36","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","26","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","2012","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","17","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","1690","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","1610","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","880","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","98","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","219","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","318","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","63","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","580","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","2250","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","1131","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
