"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1553","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","19","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","364","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","102","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","1886","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","1014","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","37","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","90","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","620","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","2272","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","303","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","2300","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","1466","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","318","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","37","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","37","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","1603","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","1713","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","18","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","117","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","16","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
