"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","359","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","19","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","35","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","42","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","2181","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","1551","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","1401","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","16","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","90","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","2251","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","1642","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","17","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","119","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","37","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","1624","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","1539","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","600","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","320","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","101","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","983","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","284","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
