"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","112","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","1637","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","1655","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","95","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","39","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","1521","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","907","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","2471","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","35","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","262","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","1679","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","14","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","671","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","1343","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","1657","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","25","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","82","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","356","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","18","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","312","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
