"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","31","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","746","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","1620","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","2553","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","36","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","43","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","112","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","1693","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","313","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","1799","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","358","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","100","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","96","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","815","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","20","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","18","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","2599","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","1531","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","315","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","1621","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
