"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2323","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","488","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","1101","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","17","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","1426","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","66","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","65","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","191","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","327","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","28","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","25","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","13","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","229","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","11","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","34","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","104","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","1596","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","1510","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","529","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","1710","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","1823","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
