"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","918","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","38","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","37","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","1656","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","17","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","711","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","106","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","14","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","327","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","105","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","2445","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","3168","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","225","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","324","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","2133","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","17","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","1241","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","28","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","1618","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","1764","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","66","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
