"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","1517","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","34","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","622","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","1518","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","29","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","284","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","36","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","2245","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","255","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","13","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","76","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","1980","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","103","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","1621","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","17","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","1787","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","926","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","328","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","1305","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
