"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","328","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","1556","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","37","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","1228","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","106","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","1777","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","33","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","896","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","34","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","1598","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","322","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","1468","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","68","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","231","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","14","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","104","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","617","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","2491","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","1797","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
