"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","819","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","18","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","39","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","329","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","1373","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","13","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","1586","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","2176","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","98","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","1696","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","37","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","89","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","26","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","641","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","2493","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","274","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","84","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","276","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","1546","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","2407","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
