"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2256","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","1444","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","1621","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","102","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","1529","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","319","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","37","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","841","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","17","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","86","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","318","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","286","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","42","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","103","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","619","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","40","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","1403","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","18","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","1649","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","2415","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
