"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","492","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","991","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","2077","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","375","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","1620","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","192","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","1757","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","37","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","16","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","20","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","10","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","19","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","61","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","119","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","1427","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","34","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","2591","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","80","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","934","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","671","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","266","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
