"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","681","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","33","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","1506","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","329","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","1486","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","41","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","2001","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","1323","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","1677","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","108","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","22","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","11","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","894","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","2291","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","290","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","86","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","244","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","1723","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
