"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","34","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","654","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","91","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","1496","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","921","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","106","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","1685","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","110","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","305","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","1620","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","2252","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","41","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","39","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","2440","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","2395","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","340","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","329","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","1581","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","17","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
