"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1640","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","604","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","100","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","311","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","39","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","1716","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","38","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","1499","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","17","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","36","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","85","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","280","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","1407","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","1582","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","825","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","17","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","2300","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","107","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","2484","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","337","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","18","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
