"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1466","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","100","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","1450","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","111","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","1620","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","286","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","16","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","2256","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","853","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","33","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","33","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","1783","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","2617","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","85","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","346","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","314","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","2462","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","694","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","40","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
