"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","1663","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","1591","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","2479","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","16","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","98","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","36","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","98","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","679","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","322","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","326","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","1690","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","40","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","1435","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","20","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","107","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","896","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","2192","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","316","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","34","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","2213","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
