"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","699","MatchesConvBaseline","","","broken","","","[R2025a] convecTest","convecTest",""
"","37","testDampingTypes","","","passed","","","[R2024b] designTest","designTest",""
"","1645","MatchesConvBaseline","","","broken","","","[R2024b] convecTest","convecTest",""
"","17","testOvershoot","","","passed","","","[R2024b] designTest","designTest",""
"","1437","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024a] exampleTest","exampleTest",""
"","1956","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","281","testSettlingTime","","","passed","","","[R2025a] designTest","designTest",""
"","747","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","broken","","","[R2024a] exampleTest","exampleTest",""
"","86","testInvalidInput","","","passed","","","[R2024a] designTest","designTest",""
"","268","testSettlingTime","","","passed","","","[R2024a] designTest","designTest",""
"","83","testInvalidInput","","","passed","","","[R2025a] designTest","designTest",""
"","328","testSettlingTime","","","passed","","","[R2024b] designTest","designTest",""
"","35","testDampingTypes","","","passed","","","[R2025a] designTest","designTest",""
"","26","testDampingTypes","","","passed","","","[R2024a] designTest","designTest",""
"","17","testOvershoot","","","passed","","","[R2025a] designTest","designTest",""
"","13","testOvershoot","","","passed","","","[R2024a] designTest","designTest",""
"","2110","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2025a] exampleTest","exampleTest",""
"","106","testInvalidInput","","","passed","","","[R2024b] designTest","designTest",""
"","1385","MatchesConvBaseline","","","broken","","","[R2024a] convecTest","convecTest",""
"","2417","exampleRunsWithoutWarningTest(example=BuildPlanDetails)","","","passed","","","[R2024b] exampleTest","exampleTest",""
"","1551","exampleRunsWithoutWarningTest(example=gettingStarted)","","","passed","","","[R2024b] exampleTest","exampleTest",""
